Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,8398.080078,8438.900391,8398.080078,8424.910156,8424.910156,18989800
2018-01-03,8424.910156,8448.700195,8421.209961,8443.500000,8443.500000,15942000
2018-01-04,8443.500000,8455.549805,8417.610352,8455.549805,8455.549805,24642900
2018-01-07,8425.480469,8425.480469,8425.480469,8425.480469,8425.480469,0
2018-01-08,8426.480469,8450.400391,8417.379883,8433.230469,8433.230469,26326000
2018-01-09,8364.900391,8364.900391,8364.900391,8364.900391,8364.900391,0
2018-01-10,8250.440430,8250.440430,8250.440430,8250.440430,8250.440430,0
2018-01-11,8250.440430,8274.799805,8237.540039,8242.349609,8242.349609,21304800
2018-01-14,8211.370117,8211.370117,8211.370117,8211.370117,8211.370117,0
2018-01-15,8250.540039,8250.540039,8250.540039,8250.540039,8250.540039,0
2018-01-16,8250.540039,8297.669922,8250.540039,8297.669922,8297.669922,26741300
2018-01-17,8272.669922,8272.669922,8272.669922,8272.669922,8272.669922,0
2018-01-18,8272.669922,8297.049805,8268.280273,8289.959961,8289.959961,22648400
2018-01-21,8335.360352,8335.360352,8335.360352,8335.360352,8335.360352,0
2018-01-22,8307.629883,8307.629883,8307.629883,8307.629883,8307.629883,0
2018-01-23,8307.629883,8344.410156,8307.629883,8324.089844,8324.089844,27633500
2018-01-24,8369.780273,8369.780273,8369.780273,8369.780273,8369.780273,0
2018-01-25,8369.780273,8369.780273,8311.419922,8311.419922,8311.419922,15713500
2018-01-28,8327.589844,8327.589844,8327.589844,8327.589844,8327.589844,0
2018-01-29,8298.580078,8298.580078,8298.580078,8298.580078,8298.580078,0
2018-01-30,8442.009766,8442.009766,8442.009766,8442.009766,8442.009766,0
2018-01-31,8383.870117,8383.870117,8383.870117,8383.870117,8383.870117,0
2018-02-02,8383.870117,8417.519531,8374.440430,8415.290039,8415.290039,0
